
# Surface 0 of 1 surfaces

# Curve title: ""p2_contourtmp1.dat""

# Contour 0, label:       10
 2.99989 -0.302721  10 
 2.98226 -0.333384  10 
 2.94676 -0.393989  10 
 2.93928 -0.406491  10 
 2.91023 -0.454594  10 
 2.87868 -0.506028  10 
 2.87299 -0.515199  10 
 2.83469 -0.575804  10 
 2.81807 -0.601675  10 
 2.79554 -0.636409  10 
 2.75747 -0.694217  10 
 2.75561 -0.697014  10 
 2.71453 -0.757619  10 
 2.69686 -0.783308  10 
 2.67261 -0.818223  10 
 2.63626 -0.869827  10 
 2.62985 -0.878828  10 
 2.58603 -0.939433  10 
 2.57565 -0.95357  10 
 2.5412 -1.00004  10 
 2.51505 -1.03486  10 
 2.49548 -1.06064  10 
 2.45444 -1.11402  10 
 2.44883 -1.12125  10 
 2.40107 -1.18185  10 
 2.39384 -1.1909  10 
 2.35223 -1.24246  10 
 2.33323 -1.2657  10 
 2.30238 -1.30306  10 
 2.27263 -1.33866  10 
 2.2515 -1.36367  10 
 2.21202 -1.40985  10 
 2.19956 -1.42427  10 
 2.15142 -1.47933  10 
 2.14652 -1.48488  10 
 2.09231 -1.54548  10 
 2.09081 -1.54714  10 
 2.03685 -1.60609  10 
 2.03021 -1.61326  10 
 1.98021 -1.66669  10 
 1.9696 -1.6779  10 
 1.92234 -1.7273  10 
 1.909 -1.74108  10 
 1.8632 -1.7879  10 
 1.84839 -1.80287  10 
 1.80276 -1.84851  10 
 1.78779 -1.86331  10 
 1.74096 -1.90911  10 
 1.72718 -1.92245  10 
 1.67777 -1.96972  10 
 1.66658 -1.98031  10 
 1.61314 -2.03032  10 
 1.60597 -2.03696  10 
 1.54701 -2.09093  10 
 1.54537 -2.09241  10 
 1.48476 -2.14662  10 
 1.47921 -2.15153  10 
 1.42416 -2.19966  10 
 1.40972 -2.21214  10 
 1.36355 -2.2516  10 
 1.33852 -2.27274  10 
 1.30295 -2.30248  10 
 1.26556 -2.33335  10 
 1.24234 -2.35232  10 
 1.19076 -2.39395  10 
 1.18174 -2.40116  10 
 1.12113 -2.44892  10 
 1.11387 -2.45456  10 
 1.06053 -2.49557  10 
 1.03471 -2.51516  10 
 0.999924 -2.54129  10 
 0.953415 -2.57577  10 
 0.939319 -2.58611  10 
 0.878714 -2.62993  10 
 0.869666 -2.63637  10 
 0.818109 -2.67269  10 
 0.783142 -2.69698  10 
 0.757504 -2.71461  10 
 0.696899 -2.75568  10 
 0.694045 -2.75758  10 
 0.636294 -2.79561  10 
 0.601498 -2.81819  10 
 0.575689 -2.83477  10 
 0.515084 -2.87307  10 
 0.505843 -2.87879  10 
 0.454479 -2.9103  10 
 0.406301 -2.9394  10 
 0.393875 -2.94683  10 
 0.33327 -2.98232  10 
 0.302521 -3  10 

-0.302721  2.99989  10 
-0.333384  2.98226  10 
-0.393989  2.94676  10 
-0.406491  2.93928  10 
-0.454594  2.91023  10 
-0.506028  2.87868  10 
-0.515199  2.87299  10 
-0.575804  2.83469  10 
-0.601675  2.81807  10 
-0.636409  2.79554  10 
-0.694217  2.75747  10 
-0.697014  2.75561  10 
-0.757619  2.71453  10 
-0.783308  2.69686  10 
-0.818223  2.67261  10 
-0.869827  2.63626  10 
-0.878828  2.62985  10 
-0.939433  2.58603  10 
-0.95357  2.57565  10 
-1.00004  2.5412  10 
-1.03486  2.51505  10 
-1.06064  2.49548  10 
-1.11402  2.45444  10 
-1.12125  2.44883  10 
-1.18185  2.40107  10 
-1.1909  2.39384  10 
-1.24246  2.35223  10 
-1.2657  2.33323  10 
-1.30306  2.30238  10 
-1.33866  2.27263  10 
-1.36367  2.2515  10 
-1.40985  2.21202  10 
-1.42427  2.19956  10 
-1.47933  2.15142  10 
-1.48488  2.14652  10 
-1.54548  2.09231  10 
-1.54714  2.09081  10 
-1.60609  2.03685  10 
-1.61326  2.03021  10 
-1.66669  1.98021  10 
-1.6779  1.9696  10 
-1.7273  1.92234  10 
-1.74108  1.909  10 
-1.7879  1.8632  10 
-1.80287  1.84839  10 
-1.84851  1.80276  10 
-1.86331  1.78779  10 
-1.90911  1.74096  10 
-1.92245  1.72718  10 
-1.96972  1.67777  10 
-1.98031  1.66658  10 
-2.03032  1.61314  10 
-2.03696  1.60597  10 
-2.09093  1.54701  10 
-2.09241  1.54537  10 
-2.14662  1.48476  10 
-2.15153  1.47921  10 
-2.19966  1.42416  10 
-2.21214  1.40972  10 
-2.2516  1.36355  10 
-2.27274  1.33852  10 
-2.30248  1.30295  10 
-2.33335  1.26556  10 
-2.35232  1.24234  10 
-2.39395  1.19076  10 
-2.40116  1.18174  10 
-2.44892  1.12113  10 
-2.45456  1.11387  10 
-2.49557  1.06053  10 
-2.51516  1.03471  10 
-2.54129  0.999924  10 
-2.57577  0.953415  10 
-2.58611  0.939319  10 
-2.62993  0.878714  10 
-2.63637  0.869666  10 
-2.67269  0.818109  10 
-2.69698  0.783142  10 
-2.71461  0.757504  10 
-2.75568  0.696899  10 
-2.75758  0.694045  10 
-2.79561  0.636294  10 
-2.81819  0.601498  10 
-2.83477  0.575689  10 
-2.87307  0.515084  10 
-2.87879  0.505843  10 
-2.9103  0.454479  10 
-2.9394  0.406301  10 
-2.94683  0.393875  10 
-2.98232  0.33327  10 
-3  0.302521  10 


# Contour 1, label:        8
-3 -2.61768  8 
-2.98748 -2.63637  8 
-2.94364 -2.69698  8 
-2.9394 -2.70244  8 
-2.89409 -2.75758  8 
-2.87879 -2.77494  8 
-2.83827 -2.81819  8 
-2.81819 -2.83827  8 
-2.77494 -2.87879  8 
-2.75758 -2.89409  8 
-2.70244 -2.9394  8 
-2.69698 -2.94364  8 
-2.63637 -2.98748  8 
-2.61768 -3  8 

 0.151455 -2.74958  8 
 0.136508 -2.75758  8 
 0.09085 -2.78175  8 
 0.0302452 -2.81313  8 
 0.0201956 -2.81819  8 
-0.0303596 -2.84333  8 
-0.0909647 -2.87275  8 
-0.103801 -2.87879  8 
-0.151569 -2.90101  8 
